task,layer,state,margin_bin,count,flip_rate,mean_margin,q33,q66
hotpotqa,11,LARGE,low,183,0.9398907103825137,0.1153442286571175,0.15050984504900636,0.22716606654354976
hotpotqa,11,LARGE,mid,366,0.9508196721311475,0.19038887420787798,0.15050984504900636,0.22716606654354976
hotpotqa,11,LARGE,high,462,0.9242424242424242,0.2951864495572191,0.15050984504900636,0.22716606654354976
hotpotqa,11,OTHER,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,11,OTHER,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
hotpotqa,11,OTHER,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,10,NULL,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,10,NULL,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,10,NULL,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,10,UNIFORM,low,689,0.9825834542815675,0.09903936225171246,0.15050984504900636,0.22716606654354976
xsum,10,UNIFORM,mid,436,0.9862385321100917,0.18722198021816888,0.15050984504900636,0.22716606654354976
xsum,10,UNIFORM,high,345,0.9797101449275363,0.3055493021942812,0.15050984504900636,0.22716606654354976
xsum,10,SMALL,low,663,0.9879336349924586,0.10729668112993637,0.15050984504900636,0.22716606654354976
xsum,10,SMALL,mid,565,0.9752212389380531,0.18663055878911428,0.15050984504900636,0.22716606654354976
xsum,10,SMALL,high,507,0.9644970414201184,0.30945614694565116,0.15050984504900636,0.22716606654354976
xsum,10,LARGE,low,1032,0.9738372093023255,0.10193802701331216,0.15050984504900636,0.22716606654354976
xsum,10,LARGE,mid,927,0.9795037756202805,0.18706796814371388,0.15050984504900636,0.22716606654354976
xsum,10,LARGE,high,1009,0.9841427155599604,0.29954638712740395,0.15050984504900636,0.22716606654354976
xsum,10,OTHER,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,10,OTHER,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,10,OTHER,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,11,NULL,low,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,11,NULL,mid,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,11,NULL,high,0,0.0,0.0,0.15050984504900636,0.22716606654354976
xsum,11,UNIFORM,low,731,0.9726402188782489,0.11382497580003978,0.15050984504900636,0.22716606654354976
xsum,11,UNIFORM,mid,1185,0.9662447257383966,0.18931221277348562,0.15050984504900636,0.22716606654354976
xsum,11,UNIFORM,high,1464,0.9672131147540983,0.3018866285397834,0.15050984504900636,0.22716606654354976
xsum,11,SMALL,low,871,0.9667049368541906,0.10729739109663593,0.15050984504900636,0.22716606654354976
xsum,11,SMALL,mid,962,0.9656964656964657,0.18751428129323833,0.15050984504900636,0.22716606654354976
xsum,11,SMALL,high,898,0.9476614699331849,0.29284215588020684,0.15050984504900636,0.22716606654354976
