model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,42,2048,5,24,3,3,1536,2048,0.20189620554447174,0.3748825490474701,0.5502753853797913,0.39690855145454407
medium,42,2048,6,24,3,0,0,512,0.4033745229244232,0.4277261793613434,0.4414215087890625,0.21435590088367462
medium,42,2048,6,24,3,1,512,1024,0.40605220198631287,0.4358571767807007,0.44964373111724854,0.21369296312332153
medium,42,2048,6,24,3,2,1024,1536,0.4036628007888794,0.4411645531654358,0.4564167261123657,0.21225948631763458
medium,42,2048,6,24,3,3,1536,2048,0.40786075592041016,0.43938401341438293,0.4540013372898102,0.2055385261774063
medium,42,2048,7,24,3,0,0,512,0.49489983916282654,0.36577972769737244,0.3046186566352844,0.15420331060886383
medium,42,2048,7,24,3,1,512,1024,0.5211567878723145,0.3555341958999634,0.2880915403366089,0.15124723315238953
medium,42,2048,7,24,3,2,1024,1536,0.5410813093185425,0.34381103515625,0.2675023078918457,0.14765189588069916
medium,42,2048,7,24,3,3,1536,2048,0.5571580529212952,0.3315581679344177,0.2581484615802765,0.14173173904418945
medium,42,2048,8,24,3,0,0,512,0.5195261240005493,0.32756125926971436,0.09755069017410278,0.1287703663110733
medium,42,2048,8,24,3,1,512,1024,0.5393072366714478,0.3168911039829254,0.09986157715320587,0.11335808038711548
medium,42,2048,8,24,3,2,1024,1536,0.5491557121276855,0.3091675043106079,0.0991952195763588,0.10759693384170532
medium,42,2048,8,24,3,3,1536,2048,0.5511630773544312,0.3058890104293823,0.09970547258853912,0.1046115830540657
medium,42,2048,9,24,3,0,0,512,0.3620111346244812,0.2095533311367035,0.4737568795681,0.3002077639102936
medium,42,2048,9,24,3,1,512,1024,0.31850770115852356,0.22533346712589264,0.4908016622066498,0.33824408054351807
medium,42,2048,9,24,3,2,1024,1536,0.3111532926559448,0.22553636133670807,0.48981916904449463,0.356964111328125
medium,42,2048,9,24,3,3,1536,2048,0.31084996461868286,0.22304119169712067,0.491035133600235,0.3662744462490082
medium,42,2048,10,24,3,0,0,512,0.36753326654434204,0.376369833946228,0.32314881682395935,0.3459242284297943
medium,42,2048,10,24,3,1,512,1024,0.31869176030158997,0.42989131808280945,0.3595300018787384,0.35090526938438416
medium,42,2048,10,24,3,2,1024,1536,0.2950483560562134,0.4509184658527374,0.38495728373527527,0.36025840044021606
medium,42,2048,10,24,3,3,1536,2048,0.2995971739292145,0.4565756618976593,0.3901379406452179,0.35529541969299316
medium,42,2048,11,24,3,0,0,512,0.18221768736839294,0.541547954082489,0.4452982246875763,0.44992655515670776
medium,42,2048,11,24,3,1,512,1024,0.1716371327638626,0.5574976205825806,0.46915096044540405,0.46038368344306946
medium,42,2048,11,24,3,2,1024,1536,0.17022086679935455,0.5584386587142944,0.47759708762168884,0.4668407738208771
medium,42,2048,11,24,3,3,1536,2048,0.16943638026714325,0.562614381313324,0.47689560055732727,0.4667403995990753
medium,42,2048,12,24,3,0,0,512,0.3202660381793976,0.38530245423316956,0.35368385910987854,0.4013238847255707
medium,42,2048,12,24,3,1,512,1024,0.3512597382068634,0.34717556834220886,0.32579928636550903,0.40477198362350464
medium,42,2048,12,24,3,2,1024,1536,0.35347530245780945,0.3494374454021454,0.3245314359664917,0.4105079174041748
medium,42,2048,12,24,3,3,1536,2048,0.3564637005329132,0.3397829532623291,0.3196052610874176,0.41261744499206543
medium,42,2048,13,24,3,0,0,512,0.2761407792568207,0.46183663606643677,0.20929846167564392,0.3058609366416931
medium,42,2048,13,24,3,1,512,1024,0.3087563216686249,0.46794846653938293,0.19061490893363953,0.264453262090683
medium,42,2048,13,24,3,2,1024,1536,0.3262723982334137,0.4664826989173889,0.17980997264385223,0.2506052851676941
medium,42,2048,13,24,3,3,1536,2048,0.3302861750125885,0.4638555347919464,0.17547836899757385,0.2490140050649643
medium,42,2048,14,24,3,0,0,512,0.18543285131454468,0.5053107142448425,0.41393256187438965,0.3596034646034241
medium,42,2048,14,24,3,1,512,1024,0.17518281936645508,0.51398104429245,0.40277355909347534,0.35042044520378113
medium,42,2048,14,24,3,2,1024,1536,0.1727892905473709,0.5194422006607056,0.3999135196208954,0.354613333940506
medium,42,2048,14,24,3,3,1536,2048,0.1703132688999176,0.5212730169296265,0.40498197078704834,0.35546639561653137
medium,42,2048,15,24,3,0,0,512,0.31595900654792786,0.4543055593967438,0.41340333223342896,0.19659370183944702
medium,42,2048,15,24,3,1,512,1024,0.30459484457969666,0.4652608633041382,0.4219557046890259,0.18698346614837646
medium,42,2048,15,24,3,2,1024,1536,0.2942134141921997,0.4787783920764923,0.42385372519493103,0.18820178508758545
medium,42,2048,15,24,3,3,1536,2048,0.28912436962127686,0.48225080966949463,0.4282339811325073,0.1899947226047516
medium,42,2048,16,24,3,0,0,512,0.21966023743152618,0.41459670662879944,0.3044522702693939,0.25655320286750793
medium,42,2048,16,24,3,1,512,1024,0.21178318560123444,0.3729472756385803,0.3112291991710663,0.2546435594558716
medium,42,2048,16,24,3,2,1024,1536,0.21539945900440216,0.35101035237312317,0.3093365728855133,0.245999276638031
medium,42,2048,16,24,3,3,1536,2048,0.21384571492671967,0.34341689944267273,0.30770495533943176,0.23819208145141602
medium,42,2048,17,24,3,0,0,512,0.23712240159511566,0.33547914028167725,0.4611893594264984,0.26683682203292847
medium,42,2048,17,24,3,1,512,1024,0.2369462549686432,0.3388861119747162,0.4542304277420044,0.26330170035362244
medium,42,2048,17,24,3,2,1024,1536,0.2340044230222702,0.34798285365104675,0.45279461145401,0.27026641368865967
medium,42,2048,17,24,3,3,1536,2048,0.2383602112531662,0.3481704592704773,0.45036906003952026,0.27010807394981384
medium,42,2048,18,24,3,0,0,512,0.2596438229084015,0.4208381175994873,0.22601762413978577,0.27058497071266174
medium,42,2048,18,24,3,1,512,1024,0.2547275125980377,0.4355300962924957,0.2246309518814087,0.2912726402282715
medium,42,2048,18,24,3,2,1024,1536,0.2496132105588913,0.44449862837791443,0.23056702315807343,0.30801206827163696
medium,42,2048,18,24,3,3,1536,2048,0.24904130399227142,0.4562853276729584,0.2350858449935913,0.3178616464138031
medium,42,2048,19,24,3,0,0,512,0.2552509903907776,0.4665546417236328,0.3150632977485657,0.3102231025695801
medium,42,2048,19,24,3,1,512,1024,0.26674512028694153,0.45767414569854736,0.32155436277389526,0.31078699231147766
medium,42,2048,19,24,3,2,1024,1536,0.2614724636077881,0.45988550782203674,0.3319746255874634,0.31347304582595825
medium,42,2048,19,24,3,3,1536,2048,0.2542372941970825,0.45552492141723633,0.3367067575454712,0.3150140941143036
medium,42,2048,20,24,3,0,0,512,0.1463158279657364,0.5234517455101013,0.4260275661945343,0.3562784194946289
medium,42,2048,20,24,3,1,512,1024,0.14172004163265228,0.5334985256195068,0.4297724962234497,0.3656044006347656
medium,42,2048,20,24,3,2,1024,1536,0.13927774131298065,0.5341890454292297,0.43371129035949707,0.3745797872543335
medium,42,2048,20,24,3,3,1536,2048,0.1378597766160965,0.5354969501495361,0.4392619729042053,0.3846776783466339
medium,42,2048,21,24,3,0,0,512,0.16899700462818146,0.5260717868804932,0.3732602000236511,0.38522568345069885
medium,42,2048,21,24,3,1,512,1024,0.15446700155735016,0.5247648358345032,0.3479640483856201,0.40824753046035767
medium,42,2048,21,24,3,2,1024,1536,0.15154509246349335,0.5267336964607239,0.340669184923172,0.4122716188430786
medium,42,2048,21,24,3,3,1536,2048,0.1503005474805832,0.526226282119751,0.3389887809753418,0.41439297795295715
