model_tag,seed,seq_len,layer,n_layers,K,qbin,qbin_lo,qbin_hi,null_usage,scale0_usage,scale1_usage,scale2_usage
medium,43,4096,3,24,3,3,1536,2048,0.37156763672828674,0.35139790177345276,0.15638025104999542,0.3515278100967407
medium,43,4096,3,24,3,4,2048,2560,0.3722614347934723,0.34887951612472534,0.1570454239845276,0.3398047387599945
medium,43,4096,3,24,3,5,2560,3072,0.376113623380661,0.3492436110973358,0.154133602976799,0.33170777559280396
medium,43,4096,3,24,3,6,3072,3584,0.37305110692977905,0.3529697060585022,0.15523983538150787,0.33265888690948486
medium,43,4096,3,24,3,7,3584,4096,0.37110093235969543,0.3592253625392914,0.1571972668170929,0.3266705274581909
medium,43,4096,4,24,3,0,0,512,0.2619897425174713,0.2903538644313812,0.30594077706336975,0.2294938862323761
medium,43,4096,4,24,3,1,512,1024,0.2309107631444931,0.30393338203430176,0.34905990958213806,0.21970506012439728
medium,43,4096,4,24,3,2,1024,1536,0.22449219226837158,0.3004895746707916,0.365402489900589,0.21666254103183746
medium,43,4096,4,24,3,3,1536,2048,0.2229781597852707,0.29970601201057434,0.3732633888721466,0.21407729387283325
medium,43,4096,4,24,3,4,2048,2560,0.22143813967704773,0.29906123876571655,0.3798946142196655,0.2164517045021057
medium,43,4096,4,24,3,5,2560,3072,0.22044122219085693,0.2982802093029022,0.38701605796813965,0.2175893932580948
medium,43,4096,4,24,3,6,3072,3584,0.22050964832305908,0.2936701476573944,0.3950987756252289,0.21857577562332153
medium,43,4096,4,24,3,7,3584,4096,0.22583259642124176,0.28758418560028076,0.39863383769989014,0.21478012204170227
medium,43,4096,5,24,3,0,0,512,0.3135284185409546,0.35681045055389404,0.5450535416603088,0.2758405804634094
medium,43,4096,5,24,3,1,512,1024,0.2902655601501465,0.35146984457969666,0.5604376792907715,0.27085402607917786
medium,43,4096,5,24,3,2,1024,1536,0.2865268588066101,0.35273632407188416,0.5630252361297607,0.27281609177589417
medium,43,4096,5,24,3,3,1536,2048,0.2842942476272583,0.3527170419692993,0.5651662349700928,0.2734198272228241
medium,43,4096,5,24,3,4,2048,2560,0.28762149810791016,0.3523204028606415,0.5642635822296143,0.27317970991134644
medium,43,4096,5,24,3,5,2560,3072,0.28266850113868713,0.35084933042526245,0.5677254796028137,0.27531352639198303
medium,43,4096,5,24,3,6,3072,3584,0.2780683636665344,0.3554774522781372,0.5691127181053162,0.2752307653427124
medium,43,4096,5,24,3,7,3584,4096,0.28125783801078796,0.35085391998291016,0.5672216415405273,0.27363264560699463
medium,43,4096,6,24,3,0,0,512,0.3184387981891632,0.3487448990345001,0.20947471261024475,0.33873409032821655
medium,43,4096,6,24,3,1,512,1024,0.33101898431777954,0.31952226161956787,0.1794225573539734,0.30960503220558167
medium,43,4096,6,24,3,2,1024,1536,0.3443865180015564,0.30576640367507935,0.16809411346912384,0.2905178368091583
medium,43,4096,6,24,3,3,1536,2048,0.3533014953136444,0.2977936267852783,0.1626124531030655,0.2772374451160431
medium,43,4096,6,24,3,4,2048,2560,0.35467907786369324,0.2994402050971985,0.1618318110704422,0.2747681438922882
medium,43,4096,6,24,3,5,2560,3072,0.34655097126960754,0.30344340205192566,0.16544370353221893,0.278462290763855
medium,43,4096,6,24,3,6,3072,3584,0.3464810848236084,0.3036229908466339,0.16580593585968018,0.27531197667121887
medium,43,4096,6,24,3,7,3584,4096,0.3556807041168213,0.29757416248321533,0.1598024219274521,0.2720235288143158
medium,43,4096,7,24,3,0,0,512,0.3973994851112366,0.33837902545928955,0.16976132988929749,0.33570101857185364
medium,43,4096,7,24,3,1,512,1024,0.3820880055427551,0.3486512005329132,0.16666431725025177,0.3468807339668274
medium,43,4096,7,24,3,2,1024,1536,0.3892856240272522,0.35332852602005005,0.16688542068004608,0.3460369408130646
medium,43,4096,7,24,3,3,1536,2048,0.3849906623363495,0.35965192317962646,0.16804054379463196,0.34285613894462585
medium,43,4096,7,24,3,4,2048,2560,0.3911515772342682,0.35617607831954956,0.16956156492233276,0.34295254945755005
medium,43,4096,7,24,3,5,2560,3072,0.39133358001708984,0.3580867350101471,0.17208576202392578,0.34139418601989746
medium,43,4096,7,24,3,6,3072,3584,0.3910442292690277,0.3628637194633484,0.17454230785369873,0.3398956060409546
medium,43,4096,7,24,3,7,3584,4096,0.3915697932243347,0.3648322820663452,0.17441393435001373,0.34054163098335266
medium,43,4096,8,24,3,0,0,512,0.6860433220863342,0.0894365981221199,0.09792511910200119,0.17264051735401154
medium,43,4096,8,24,3,1,512,1024,0.7090914249420166,0.08043792843818665,0.08819366246461868,0.17140591144561768
medium,43,4096,8,24,3,2,1024,1536,0.7132018804550171,0.08017924427986145,0.08586765080690384,0.17207187414169312
medium,43,4096,8,24,3,3,1536,2048,0.713012158870697,0.07954735308885574,0.08624373376369476,0.17006708681583405
medium,43,4096,8,24,3,4,2048,2560,0.7183549404144287,0.07776311039924622,0.08536601811647415,0.16964828968048096
medium,43,4096,8,24,3,5,2560,3072,0.719799280166626,0.07702312618494034,0.08488420397043228,0.16862764954566956
