scope,rho_scale,rho_over_Ltrain,layer,query,g0,pa_rms,training_imprint_rms,wavelet_bias_rms,row_centered_wavelet_bias_rms,centered_over_raw_bias_rms,wavelet_over_pa_rms,wavelet_over_training_imprint_rms,corr_wavelet_pa,corr_g0_full_context_bias_rms,mean_abs_full_context_bias_rms_minus_g0
query_row_causal,384.0,0.75,0,255,0.5527107119560242,3.509656207176404,1.7019129549471406,1.1563653432987648,0.4632409604233075,0.400600868149351,0.32948108733108256,0.6794503443536454,-0.3176465039096798,,
query_row_causal,384.0,0.75,0,511,0.20770396292209625,4.875195956906949,1.668521740489545,0.3615486818364066,0.21676195907087156,0.5995374066083635,0.07416085118059335,0.2166880257312848,-0.21978064475808848,,
query_row_causal,384.0,0.75,0,1023,0.8023708462715149,3.3705869304204366,1.2203987944567987,1.1326627658622925,1.0570935154768575,0.9332817740080788,0.3360431845384886,0.9281087223348515,-0.003266870399261711,,
query_row_causal,384.0,0.75,0,2047,0.7171541452407837,5.2458531291909285,1.3373764721470678,0.7171516095918755,0.716476854151494,0.9990591174427322,0.13670828975390745,0.5362376447676973,0.007711686659431352,,
layer_causal_all,384.0,0.75,2,all,0.6267906427383423,31.184939455912108,5.904235745325986,0.8392223831125956,0.7631926004495085,0.9094044865901934,0.02691114357618206,0.14213903700863495,0.048998271286778444,0.9999999999555114,3.7067511584609747e-06
query_row_causal,384.0,0.75,2,255,0.5285545587539673,28.58859105602664,5.710861141123019,1.0006676722012466,0.5149943143217932,0.5146506963584824,0.03500234307595582,0.17522185314498284,-0.6543023275613399,,
query_row_causal,384.0,0.75,2,511,0.770805835723877,30.609638866473997,4.895566209729749,1.319109713047824,0.9224729979532958,0.6993148400233573,0.04309458595059131,0.26944987699811807,-0.40521747630381355,,
query_row_causal,384.0,0.75,2,1023,0.7216336727142334,33.26133303231187,6.417555616482477,1.0186376943360906,0.9549257564778719,0.9374537794816795,0.030625281715153465,0.15872674195762024,0.06609139461193052,,
query_row_causal,384.0,0.75,2,2047,0.7338069081306458,34.78669608704205,5.709971008192308,0.7338035402193142,0.7326342368024846,0.9984065170679334,0.021094372928754622,0.12851265604790268,0.05215433571625364,,
layer_causal_all,384.0,0.75,6,all,0.5727713108062744,25.739003697263517,6.394063922144506,0.7680098397731341,0.6806669560431992,0.8862737438940423,0.029838367048169244,0.12011294368098079,0.16822486060652375,0.9999999999800184,1.94646418094635e-06
query_row_causal,384.0,0.75,6,255,0.7440157532691956,18.04904529556856,4.300065702944101,1.5681830692164709,0.13460618743920097,0.08583576119493229,0.08688454394878684,0.36468816468148196,0.018962921451402243,,
query_row_causal,384.0,0.75,6,511,0.3968604803085327,25.478882532650054,7.370589536962359,0.6931840573664189,0.40026183492739387,0.5774250441478553,0.027206218972835025,0.09404730162902286,-0.11812379765364182,,
query_row_causal,384.0,0.75,6,1023,0.7072838544845581,27.03313823382561,6.826428624697049,0.9965413276808521,0.993499198152632,0.9969473122250737,0.03686369370293513,0.1459828238847334,0.13826392829091272,,
query_row_causal,384.0,0.75,6,2047,0.7503527998924255,26.25658862642288,6.683147264149599,0.7503509767901428,0.7349705944354129,0.979502415762122,0.028577626266157046,0.1122750924276725,0.03840529576421323,,
layer_causal_all,384.0,0.75,8,all,0.7706064581871033,21.53524855265378,5.734032070734429,0.9936837880841481,0.8509981849389822,0.8564074357897414,0.04614220196505217,0.17329581973490335,0.28483498765684523,0.9999999994510017,7.434151484631002e-06
query_row_causal,384.0,0.75,8,255,0.7276755571365356,13.201821412886439,4.5582538358299285,1.1144289468199964,0.8057235332588719,0.7229922872678335,0.08441478732110332,0.24448593407854624,-0.19909542008052225,,
query_row_causal,384.0,0.75,8,511,0.7497001886367798,17.941909947807932,4.761479561339925,1.1979317942245504,1.193624192565506,0.9964041344592304,0.06676723925765266,0.2515881416253399,0.33139379365514954,,
query_row_causal,384.0,0.75,8,1023,0.780494213104248,25.33688290622101,7.199150538406906,1.1017255734466354,1.0326617800999862,0.9373130705039457,0.04348307475408219,0.1530354960031764,0.38111316118283456,,
query_row_causal,384.0,0.75,8,2047,0.8044031262397766,20.839200922850043,7.058133512786668,0.8043944020435945,0.7298666910406063,0.9073492918229569,0.03860005981139044,0.11396701416689499,0.1771923989203806,,
